title_10ybin	date	ocr_url
NRC Handelsblad(1975.4, 1985.2]	1984-04-02	http://resolver.kb.nl/resolve?urn=KBNRC01:000027721:mpeg21:a0087:ocr
NRC Handelsblad(1975.4, 1985.2]	1985-07-05	http://resolver.kb.nl/resolve?urn=KBNRC01:000029796:mpeg21:a0185:ocr
NRC Handelsblad(1975.4, 1985.2]	1984-03-26	http://resolver.kb.nl/resolve?urn=KBNRC01:000028001:mpeg21:a0080:ocr
NRC Handelsblad(1985.2, 1995.0]	1992-11-04	http://resolver.kb.nl/resolve?urn=KBNRC01:000030404:mpeg21:a0127:ocr
NRC Handelsblad(1985.2, 1995.0]	1992-03-13	http://resolver.kb.nl/resolve?urn=KBNRC01:000029652:mpeg21:a0169:ocr
NRC Handelsblad(1985.2, 1995.0]	1990-11-16	http://resolver.kb.nl/resolve?urn=KBNRC01:000030071:mpeg21:a0175:ocr
NRC Handelsblad(1985.2, 1995.0]	1994-04-18	http://resolver.kb.nl/resolve?urn=KBNRC01:000031372:mpeg21:a0087:ocr
NRC Handelsblad(1985.2, 1995.0]	1994-06-11	http://resolver.kb.nl/resolve?urn=KBNRC01:000031115:mpeg21:a0170:ocr
NRC Handelsblad(1985.2, 1995.0]	1989-11-28	http://resolver.kb.nl/resolve?urn=KBNRC01:000118035:mpeg21:a0194:ocr
NRC Handelsblad(1985.2, 1995.0]	1990-04-06	http://resolver.kb.nl/resolve?urn=KBNRC01:000029723:mpeg21:a0180:ocr
NRC Handelsblad(1985.2, 1995.0]	1988-09-22	http://resolver.kb.nl/resolve?urn=KBNRC01:000029177:mpeg21:a0181:ocr
NRC Handelsblad(1985.2, 1995.0]	1993-03-09	http://resolver.kb.nl/resolve?urn=KBNRC01:000030689:mpeg21:a0135:ocr
NRC Handelsblad(1985.2, 1995.0]	1989-02-11	http://resolver.kb.nl/resolve?urn=KBNRC01:000030516:mpeg21:a0163:ocr
NRC Handelsblad(1985.2, 1995.0]	1993-08-06	http://resolver.kb.nl/resolve?urn=KBNRC01:000030989:mpeg21:a0122:ocr
NRC Handelsblad(1985.2, 1995.0]	1989-09-19	http://resolver.kb.nl/resolve?urn=KBNRC01:000031530:mpeg21:a0175:ocr
NRC Handelsblad(1985.2, 1995.0]	1986-12-08	http://resolver.kb.nl/resolve?urn=KBNRC01:000030194:mpeg21:a0087:ocr
NRC Handelsblad(1985.2, 1995.0]	1991-08-05	http://resolver.kb.nl/resolve?urn=KBNRC01:000029822:mpeg21:a0099:ocr
NRC Handelsblad(1985.2, 1995.0]	1994-04-16	http://resolver.kb.nl/resolve?urn=KBNRC01:000031371:mpeg21:a0162:ocr
NRC Handelsblad(1985.2, 1995.0]	1992-03-16	http://resolver.kb.nl/resolve?urn=KBNRC01:000029654:mpeg21:a0124:ocr
NRC Handelsblad(1985.2, 1995.0]	1989-10-23	http://resolver.kb.nl/resolve?urn=KBNRC01:000036326:mpeg21:a0132:ocr
NRC Handelsblad(1985.2, 1995.0]	1993-07-26	http://resolver.kb.nl/resolve?urn=KBNRC01:000031238:mpeg21:a0081:ocr
NRC Handelsblad(1985.2, 1995.0]	1992-06-22	http://resolver.kb.nl/resolve?urn=KBNRC01:000035016:mpeg21:a0113:ocr
NRC Handelsblad(1985.2, 1995.0]	1993-07-29	http://resolver.kb.nl/resolve?urn=KBNRC01:000031241:mpeg21:a0131:ocr
NRC Handelsblad(1985.2, 1995.0]	1993-12-07	http://resolver.kb.nl/resolve?urn=KBNRC01:000030893:mpeg21:a0168:ocr
NRC Handelsblad(1985.2, 1995.0]	1994-06-30	http://resolver.kb.nl/resolve?urn=KBNRC01:000031206:mpeg21:a0046:ocr
parool(1945.951, 1955.8]	1954-10-23	http://resolver.kb.nl/resolve?urn=ABCDDD:010834671:mpeg21:a0320:ocr
parool(1955.8, 1965.6]	1965-02-10	http://resolver.kb.nl/resolve?urn=ABCDDD:010835313:mpeg21:a0147:ocr
parool(1955.8, 1965.6]	1960-11-24	http://resolver.kb.nl/resolve?urn=ABCDDD:010838988:mpeg21:a0300:ocr
parool(1955.8, 1965.6]	1958-02-20	http://resolver.kb.nl/resolve?urn=ABCDDD:010840794:mpeg21:a0229:ocr
parool(1965.6, 1975.4]	1969-06-20	http://resolver.kb.nl/resolve?urn=ABCDDD:010838448:mpeg21:a0241:ocr
parool(1965.6, 1975.4]	1972-07-12	http://resolver.kb.nl/resolve?urn=ABCDDD:010834247:mpeg21:a0245:ocr
parool(1965.6, 1975.4]	1969-12-11	http://resolver.kb.nl/resolve?urn=ABCDDD:010837675:mpeg21:a0312:ocr
parool(1965.6, 1975.4]	1970-02-09	http://resolver.kb.nl/resolve?urn=ABCDDD:010837697:mpeg21:a0112:ocr
parool(1965.6, 1975.4]	1968-04-22	http://resolver.kb.nl/resolve?urn=ABCDDD:010833711:mpeg21:a0197:ocr
parool(1965.6, 1975.4]	1969-05-09	http://resolver.kb.nl/resolve?urn=ABCDDD:010936112:mpeg21:a0289:ocr
parool(1965.6, 1975.4]	1968-07-10	http://resolver.kb.nl/resolve?urn=ABCDDD:010833657:mpeg21:a0222:ocr
parool(1965.6, 1975.4]	1968-10-16	http://resolver.kb.nl/resolve?urn=ABCDDD:010838749:mpeg21:a0169:ocr
parool(1965.6, 1975.4]	1972-09-27	http://resolver.kb.nl/resolve?urn=ABCDDD:010837225:mpeg21:a0165:ocr
parool(1965.6, 1975.4]	1968-12-05	http://resolver.kb.nl/resolve?urn=ABCDDD:010838206:mpeg21:a0085:ocr
parool(1965.6, 1975.4]	1974-04-19	http://resolver.kb.nl/resolve?urn=ABCDDD:010837477:mpeg21:a0334:ocr
parool(1965.6, 1975.4]	1973-01-17	http://resolver.kb.nl/resolve?urn=ABCDDD:010833477:mpeg21:a0244:ocr
parool(1965.6, 1975.4]	1973-03-20	http://resolver.kb.nl/resolve?urn=ABCDDD:010833638:mpeg21:a0203:ocr
parool(1965.6, 1975.4]	1972-08-09	http://resolver.kb.nl/resolve?urn=ABCDDD:010834116:mpeg21:a0190:ocr
parool(1975.4, 1985.2]	1977-07-14	http://resolver.kb.nl/resolve?urn=ABCDDD:010839715:mpeg21:a0213:ocr
parool(1985.2, 1995.0]	1986-07-03	http://resolver.kb.nl/resolve?urn=ABCDDD:010831787:mpeg21:a0184:ocr
trouw(1955.8, 1965.6]	1961-07-13	http://resolver.kb.nl/resolve?urn=ABCDDD:010814717:mpeg21:a0148:ocr
trouw(1965.6, 1975.4]	1974-02-23	http://resolver.kb.nl/resolve?urn=ABCDDD:010822895:mpeg21:a0229:ocr
trouw(1975.4, 1985.2]	1984-07-11	http://resolver.kb.nl/resolve?urn=ABCDDD:010820864:mpeg21:a0185:ocr
trouw(1975.4, 1985.2]	1984-08-15	http://resolver.kb.nl/resolve?urn=ABCDDD:010820894:mpeg21:a0226:ocr
trouw(1975.4, 1985.2]	1984-06-14	http://resolver.kb.nl/resolve?urn=ABCDDD:010820690:mpeg21:a0322:ocr
trouw(1975.4, 1985.2]	1985-09-19	http://resolver.kb.nl/resolve?urn=ABCDDD:010828243:mpeg21:a0272:ocr
trouw(1975.4, 1985.2]	1984-11-02	http://resolver.kb.nl/resolve?urn=ABCDDD:010821215:mpeg21:a0165:ocr
trouw(1985.2, 1995.0]	1990-01-08	http://resolver.kb.nl/resolve?urn=ABCDDD:010827027:mpeg21:a0234:ocr
trouw(1985.2, 1995.0]	1990-03-28	http://resolver.kb.nl/resolve?urn=ABCDDD:010825399:mpeg21:a0336:ocr
trouw(1985.2, 1995.0]	1992-06-30	http://resolver.kb.nl/resolve?urn=ABCDDD:010823570:mpeg21:a0211:ocr
trouw(1985.2, 1995.0]	1992-04-24	http://resolver.kb.nl/resolve?urn=ABCDDD:010826352:mpeg21:a0323:ocr
trouw(1985.2, 1995.0]	1986-01-02	http://resolver.kb.nl/resolve?urn=ABCDDD:010827511:mpeg21:a0085:ocr
trouw(1985.2, 1995.0]	1994-08-02	http://resolver.kb.nl/resolve?urn=ABCDDD:010822764:mpeg21:a0168:ocr
trouw(1985.2, 1995.0]	1991-08-05	http://resolver.kb.nl/resolve?urn=ABCDDD:010824354:mpeg21:a0178:ocr
trouw(1985.2, 1995.0]	1992-02-26	http://resolver.kb.nl/resolve?urn=ABCDDD:010826329:mpeg21:a0294:ocr
trouw(1985.2, 1995.0]	1991-02-28	http://resolver.kb.nl/resolve?urn=ABCDDD:010824732:mpeg21:a0285:ocr
trouw(1985.2, 1995.0]	1995-05-10	http://resolver.kb.nl/resolve?urn=ABCDDD:010821811:mpeg21:a0253:ocr
trouw(1985.2, 1995.0]	1991-12-17	http://resolver.kb.nl/resolve?urn=ABCDDD:010823852:mpeg21:a0231:ocr
trouw(1985.2, 1995.0]	1995-06-22	http://resolver.kb.nl/resolve?urn=ABCDDD:010821695:mpeg21:a0276:ocr
trouw(1985.2, 1995.0]	1991-06-14	http://resolver.kb.nl/resolve?urn=ABCDDD:010824490:mpeg21:a0286:ocr
trouw(1985.2, 1995.0]	1993-02-11	http://resolver.kb.nl/resolve?urn=ABCDDD:010821890:mpeg21:a0300:ocr
trouw(1985.2, 1995.0]	1994-02-17	http://resolver.kb.nl/resolve?urn=ABCDDD:010823276:mpeg21:a0284:ocr
trouw(1985.2, 1995.0]	1986-01-10	http://resolver.kb.nl/resolve?urn=ABCDDD:010827518:mpeg21:a0107:ocr
trouw(1985.2, 1995.0]	1991-09-23	http://resolver.kb.nl/resolve?urn=ABCDDD:010823986:mpeg21:a0134:ocr
trouw(1985.2, 1995.0]	1990-05-16	http://resolver.kb.nl/resolve?urn=ABCDDD:010825237:mpeg21:a0361:ocr
trouw(1985.2, 1995.0]	1988-03-23	http://resolver.kb.nl/resolve?urn=ABCDDD:010825829:mpeg21:a0340:ocr
trouw(1985.2, 1995.0]	1992-12-11	http://resolver.kb.nl/resolve?urn=ABCDDD:010822166:mpeg21:a0277:ocr
trouw(1985.2, 1995.0]	1986-07-09	http://resolver.kb.nl/resolve?urn=ABCDDD:010827827:mpeg21:a0187:ocr
trouw(1985.2, 1995.0]	1994-10-12	http://resolver.kb.nl/resolve?urn=ABCDDD:010822291:mpeg21:a0261:ocr
trouw(1985.2, 1995.0]	1992-04-07	http://resolver.kb.nl/resolve?urn=ABCDDD:010826338:mpeg21:a0266:ocr
trouw(1985.2, 1995.0]	1994-05-03	http://resolver.kb.nl/resolve?urn=ABCDDD:010823080:mpeg21:a0226:ocr
trouw(1985.2, 1995.0]	1991-07-10	http://resolver.kb.nl/resolve?urn=ABCDDD:010824386:mpeg21:a0213:ocr
trouw(1985.2, 1995.0]	1994-11-11	http://resolver.kb.nl/resolve?urn=ABCDDD:010822215:mpeg21:a0252:ocr
trouw(1985.2, 1995.0]	1989-05-10	http://resolver.kb.nl/resolve?urn=ABCDDD:010827879:mpeg21:a0319:ocr
volkskrant(1955.8, 1965.6]	1965-07-01	http://resolver.kb.nl/resolve?urn=ABCDDD:010878142:mpeg21:a0286:ocr
volkskrant(1955.8, 1965.6]	1964-01-18	http://resolver.kb.nl/resolve?urn=ABCDDD:010876070:mpeg21:a0465:ocr
volkskrant(1965.6, 1975.4]	1970-06-06	http://resolver.kb.nl/resolve?urn=ABCDDD:010848466:mpeg21:a0526:ocr
volkskrant(1975.4, 1985.2]	1981-04-13	http://resolver.kb.nl/resolve?urn=ABCDDD:010879723:mpeg21:a0104:ocr
volkskrant(1975.4, 1985.2]	1980-10-25	http://resolver.kb.nl/resolve?urn=ABCDDD:010880065:mpeg21:a0522:ocr
volkskrant(1975.4, 1985.2]	1976-12-29	http://resolver.kb.nl/resolve?urn=ABCDDD:010881209:mpeg21:a0176:ocr
volkskrant(1985.2, 1995.0]	1986-03-28	http://resolver.kb.nl/resolve?urn=ABCDDD:010878790:mpeg21:a0305:ocr
volkskrant(1985.2, 1995.0]	1986-08-09	http://resolver.kb.nl/resolve?urn=ABCDDD:010879233:mpeg21:a0686:ocr
volkskrant(1985.2, 1995.0]	1988-11-17	http://resolver.kb.nl/resolve?urn=ABCDDD:010856469:mpeg21:a0283:ocr
volkskrant(1985.2, 1995.0]	1993-01-25	http://resolver.kb.nl/resolve?urn=ABCDDD:010866245:mpeg21:a0109:ocr
volkskrant(1985.2, 1995.0]	1991-06-05	http://resolver.kb.nl/resolve?urn=ABCDDD:010867207:mpeg21:a0233:ocr
volkskrant(1985.2, 1995.0]	1986-04-26	http://resolver.kb.nl/resolve?urn=ABCDDD:010878763:mpeg21:a0865:ocr
volkskrant(1985.2, 1995.0]	1989-01-05	http://resolver.kb.nl/resolve?urn=ABCDDD:010856406:mpeg21:a0223:ocr
volkskrant(1985.2, 1995.0]	1990-03-27	http://resolver.kb.nl/resolve?urn=ABCDDD:010857680:mpeg21:a0230:ocr
volkskrant(1985.2, 1995.0]	1990-10-29	http://resolver.kb.nl/resolve?urn=ABCDDD:010867380:mpeg21:a0116:ocr
volkskrant(1985.2, 1995.0]	1988-04-26	http://resolver.kb.nl/resolve?urn=ABCDDD:010856657:mpeg21:a0211:ocr
volkskrant(1985.2, 1995.0]	1989-06-29	http://resolver.kb.nl/resolve?urn=ABCDDD:010857301:mpeg21:a0277:ocr
volkskrant(1985.2, 1995.0]	1986-10-11	http://resolver.kb.nl/resolve?urn=ABCDDD:010879214:mpeg21:a0722:ocr
volkskrant(1985.2, 1995.0]	1991-01-04	http://resolver.kb.nl/resolve?urn=ABCDDD:010867434:mpeg21:a0200:ocr
volkskrant(1985.2, 1995.0]	1988-08-03	http://resolver.kb.nl/resolve?urn=ABCDDD:010856535:mpeg21:a0166:ocr
volkskrant(1985.2, 1995.0]	1988-12-07	http://resolver.kb.nl/resolve?urn=ABCDDD:010856434:mpeg21:a0240:ocr
